Back,الى الخلف
Delete Bannner,حذف Bannner
Are you sure you want to revoke the customer's tokens?,هل أنت متأكد أنك تريد إزالة رموز العميل؟
Force Sign-In,قوة الدخول في
Create Order,إنشاء ترتيب
Please select,الرجاء تحديد
Reset,إعادة تعيين
Reset Password,إعادة تعيين كلمة المرور
Save and Continue Edit,حفظ ومتابعة تحرير
Save Banner,حفظ راية
Banner Infomation,راية Infomation و
Online,عبر الانترنت
Unlock,فتح
Delete Category Image,حذف الفئة صورة
Save Category Image,حفظ الفئة صورة
Delete Featured Category,حذف الفئة المميز
Save Featured Category,حفظ الفئة المميز
Delete Notification,حذف إعلام
Push Notification,إعلام دفع
Save Notification,حفظ إعلام
Choose an Option...,إختر خيار...
Banner could not be deleted.,لا يمكن حذف شعار.
Banner has been deleted.,لقد تم حذف شعار.
Requested banner doesn't exist,لا وجود لافتة طلب
Something went wrong while editing the banner.,حدث خطأ ما أثناء تحرير لواء.
Edit Item with id %1,تحرير عنصر بالمعرف٪ 1
New Banner,راية جديدة
Banner Image,راية صورة
Manage Banner Images,إدارة الصور راية
A total of %1 record(s) were deleted.,تم حذف ما مجموعه٪ 1 سجل (ق).
A total of %1 record(s) were disabled.,تم تعطيل ما مجموعه٪ 1 سجل (ق).
A total of %1 record(s) were enabled.,تم تمكين ما مجموعه٪ 1 سجل (ق).
You saved the banner.,قمت بحفظه لافتة.
Something went wrong while saving the banner. %1,حدث خطأ ما أثناء إنقاذ لافتة. ٪ 1
Please upload banner image.,يرجى تحميل صورة لافتة.
File can not be saved to the destination folder.,ملف لا يمكن أن يتم حفظها إلى مجلد الوجهة.
Sort order should be a number.,يجب أن يكون ترتيب عدد.
Sort order field can not be blank.,مجال ترتيب لا يمكن أن يكون فارغا.
Requested product doesn't exist,لا وجود المنتج المطلوب
Requested category doesn't exist,لا وجود فئة المطلوبة
Banner type or id should be set.,يجب تعيين نوع راية أو الهوية.
Category image record could not be deleted.,لا يمكن حذف فئة سجل صورة.
Category image record has been deleted.,تم حذف فئة سجل صورة.
Requested categoryimages doesn't exist,غير موجود categoryimages طلب
Something went wrong while editing the category image.,حدث خطأ ما أثناء تحرير الصورة الفئة.
New Category Image,جديدة الفئة صورة
Category Image,الفئة صورة
Manage Category's Banners and Icons,إدارة الفئة لافتات وأيقونات
You saved the category image.,يمكنك حفظ صورة الفئة.
Something went wrong while saving the category images. %1,حدث خطأ أثناء حفظ الصور الفئة. ٪ 1
Please upload category icon image.,يرجى تحميل فئة صورة الرمز.
Please upload category banner image.,يرجى تحميل فئة راية صورة.
Category id should be set.,يجب تعيين فئة معرف.
Featuredcategories could not be deleted.,لا يمكن حذف Featuredcategories.
Featuredcategories has been deleted.,تم حذف Featuredcategories.
Requested featuredcategories doesn't exist,غير موجود featuredcategories طلب
Something went wrong while editing the featuredcategories.,حدث خطأ ما أثناء تحرير featuredcategories.
New Featuredcategories,Featuredcategories جديدة
Featuredcategories,Featuredcategories
Manage Featured Categories,إدارة الفئات مميزة
You saved the featuredcategories.,قمت بحفظ featuredcategories.
Something went wrong while saving the featuredcategories. %1,حدث خطأ ما أثناء إنقاذ featuredcategories. ٪ 1
Please upload featuredcategories image.,يرجى تحميل featuredcategories الصورة.
Notification could not be deleted.,لا يمكن حذف الإخطار.
Notification has been deleted.,لقد تم حذف الإخطار.
Requested notification doesn't exist,لا وجود إخطار طلب
Something went wrong while editing the notification.,حدث خطأ ما أثناء تحرير الإعلام.
New Notification,الإعلام الجديد
Notification,إعلام
Manage Notifications,إدارة الإخطارات
You saved the notification.,قمت بحفظه الإخطار.
Something went wrong while saving the notification. %1,حدث خطأ ما أثناء إنقاذ الإخطار. ٪ 1
Please upload notification image.,يرجى تحميل صورة الإخطار.
Notification type or id should be set.,يجب تعيين نوع الإخطار أو الهوية.
Session id expired !,معرف جلسة انتهت!
Cannot specify product.,لا يمكن تحديد المنتج.
